# Generated from Radheef (radheef.siyamex.com) by scripts/build_definitions.py — do not edit by hand.
ހަ	(ނ) ހަދޯނި
އިސްރާފީލު	ޤިޔާމަތުގެ ތާޅަފިލި ފުންމެވުމާ ޙަވާލު ކުރައްވައިފައިވާ މަލާއިކަތާ
އިސްރާފު	(2) ވިޔާނުދާ ޚަރަދު
އިސްރާފުކުރުން	(2) ވިޔާނުދާ ޚަރަދުކުރުން
އިސްރޫ	ފަންޑިތަ ހެދުމުގައި ކުރަހާ ރުލެއް
އިސްބަގުލު	(އިސްބަޣޫލް) މަސްލައްވައިގެން ފަނިގިރާން ގެންގުޅޭ މަޝްހޫރު އޮށެއް
އިސްބޯ	ފުއްކިބަ
އިސްކަން	"އިސް" ގެ ނަން އިތުރުގެ ނަން
އިސްކަންދަރު	(2) ލާރި
އިސްކަންދަރުހަރުބި	ހަތްކޮޅު ނަގާބޭފުޅުން އިއްޒަތަށް ވަޑައިގަންނަވާއިރު ގަނޑުވަރުން ފެށިގެން އެވަޑައިގަންނަވާ ތާކަށް ވަޑައިގަންނަވާންދެން ދުންމާރީގައި ފުމޭ ހަރުބި
އިސްކަންދަރުދޮރޯށި	ހިއްތަން ދޮރޯއްޓާއި ފާރަވެރީންގެ ދޮރޯއްޓާ ދެމެދުގައި ހުންނަ ދޮރޯށި
އިސްކަރާބު	ތަންތާނގައި ލައިފައި ހުންނަ ދަވާދު ކަހާށެވެ
އިސްކާތުބަނުން	ނަވުގެ މަތީ ރިޔަލެއްގެ އެއްކޮޅު ބަނުން
އިސްކިރީން	(2) ބައިސްކޯފުގެ ތަސްވީރު އަރާ ފަރުދާ
އިސްކު	(3) ދެޖިންސެއްގެ ދެމެދުގައި ހިނގާ ލޯބި
އިސްކުނޯރް	މީގެ ކޮޅުފަސްކޮޅު ކުނބަށް ނަގަނީ ގޯސީއެވެ
އިސްކުރު	(2) މިގޮތަށް ކަނޑައިފައި ހުންނަ މައިޒާން
އިސްކުރުން	(3) ކަމަކަށް ވެރިކުރުން
އިސްކުރުބޯ	މިތަން ހުންނާނީ މޮހޮރު ބޮލެއްގެ ސިފައިގައެވެ
އިސްކުރުކަށި	) އިސްކުރު އަނބުރާ ކަށިގަނޑު
އިސްކުރުކަނޑާފިލާގަނޑު	ލޯ ފަދަ ތަކެތީގައި އިސްކުރު ކަނޑާން ގެންގުޅޭ އާލަތެއް
އިސްކުރުކެނޑުން	(2) މައިޒާން ވާނޭހެން ކެނޑުން
އިސްކުރުއަނބުރާކަށިގަނޑު	އިސްކުރު ބޮލުގައި ކަނޑައިފައި ހުންނަ ތަނުގައި ހިފޭނޭހެން ފަތިކޮށްފައެވެ
އިސްކުރުތޮޅި	މީގެ ތޮޅި ހުންނާނީ އިސްކުރެއްހެން އެނބުރިފައެވެ
އިސްކޫނަރް	މީގެ ކޮޅުފަސްކޮޅު ކުނބަށްނަގަނީ ގޯސީއެވެ
އިސްކޫލް	މަދުރަސާ
އިސްކޫލްފޮތް	މިފޮތުގައި ހުންނާނީ 04 ޞަފުޙާ ނުވަތަ 08 ޞަފުޙާއެވެ
އިސްކޮޅު	(2) އެއްޗެއްގެ ދިގުމިން
އިސްއުފުލުން	(2) އިސްނެގުން
އިސްއެރުން	އިދިފުށަށް ދެމުންފަދަ ގޮތްގޮތްވެއެވެ
އިސްއޮބުން	އިސްޖެހުން
އިސްވަރު	އިހުގައި އޮންނަ "ހަވަރު" ގެ ތެރެއިން އެންމެ އިސްބައި
އިސްވަރުދަންމަތި	ހެންވޭރުގެ އެއްބައި
އިސްވައި	ނޭވާއަށް އުނދަގޫވާ ބައްޔެއް
އިސްވާރު	ނަވުގެ ސަތަރި ދަމަން ބާއްވާ ވަސް
އިސްވުން	(3) ކަމެއް ކުރުމުގައި އެކަން ކުރުވާ މީހެއްގެ ގޮތުން ކުރިއަށްޖެހުން
އިސްވެވޮޑިގެންވުން	ފެށުނު ވަކިވަގުތެއް ނެތި ވޮޑިގެންވުން
އިސްވެދިއުން	(2) މާޒީވެދިޔުން
އިސްމަތި	(2) ފޫޅުގެ ތިރީގައި ފަރުޖުގެ މަތީކައިރީގައި ބޮނޑިމަސްކޮށް އޮންނަ ހިސާބު
އިސްފަރޫފަ	އަންގާގެ ނަކަތްތެރިކަމުގައި ދުވަސް ބަހައިފައިވާ ބައިތަކުގެ ތެރެއިން ބައެއް
އިސްފަސްވުން	(2) ކަމެއްގެ ތަރުތީބު އޮޅުން
އިސްފާޅަ	) ހަތްކޮޅު
އިސްފިރޭނު	ނުވަތަ ހިމަ ދަގަނޑު ވަކި ގޮތްތަކަކަށް އޮޅައިގެން ހަދައިފައި ހުންނަ ވަރުގަދަ ފަންވަރަކާއި ބާރެއް ލައިފައިވާ އެއްޗެއް
އިސްފިރޭނުސޯބު	(2) ގަޑިގައި ހުންނަ އިސްޕިރޭނު ހަރުކޮށްފައިވާ ސޯބު
އިސްފިރޭޓް	އިސްޕިރިޓް
އިސްފިލާ	ވަނޮޅުގެ ދެކަނި ދޭތެރޭގައި ކުނބުގެ ދިރުނބާކޮޅާ ވީ ފަރާތުގައި އޮންނަ ފިލާ
އިސްދަން	އަވަށް އަވަށުގައި ދަން ބަހައިފައި އޮންނައިރު އޭގެ ތެރެއިން އެންމެ ކުރިއަށް އޮންނަ ދަން
އިސްދަރިވަރު	ކަމެއްކުރާ ނުވަތަ ކަމެއް ދަސްކުރާ ބައެއްގެ ތެރެއިން އެކަމަށް މޮޅުވުމުގެ ސަބަބުން އެކަމުގައި އެންމެ ކުރިއަށް ތިބޭ މީހުންގެ ތެރޭގައި ހިމެނޭ މީހާ
އިސްދެކޮށި	އައްޑަނަ ކޮއްޓެވެ
އިސްދޮށަށްޖެހުން	(2) އިސްއޮބުން
އިސްތަށި	ޖަނަވާރުގައި މިގޮތަށް ފަޅައިފައި ހުންނަނީ ކެހެރިއެވެ
އިސްތަށިފުޅު	މާތްބަހުން ވާހަކަދައްކާއިރު ބޮލަށް ކިޔާ ނަމެއް
އިސްތަށިފުޅުތުރުކުރެއްވުން	ބޯބޭލުމަށް މާތްބަހުން ކިޔާގޮތް
އިސްތަންބޯލުކަރުދާސް	ފުލުސްކޭޕް ކަރުދާސް
އިސްތަފާ	ގުންބާގެ ފައިގައި އޮޅާސުތުލި
އިސްތިހާރު	ނުވަތަ ގޮވާ ގޮވުން
އިސްތިހާރުކުރުން	ލިޔެގެން ނުވަތަ ގޮވައިގެން ގިނަމީހުންނަށް ކަމެއް އެންގުން
އިސްތިންވަރު	"ހަވަރު" ގެތެރެއިން ކުރިޔަށް އޮންނަ ތިންބައި
އިސްތިންގިބާޓަލް	ނައުފަހަރުގެ ރިޔާދޫކުރަން ހުންނަ ވައު
އިސްތިންގީ	ނައުފަހަރުގެ ދަންމާނު ބުޑު ތިރިކޮށް ނަގައި ހަދާން ހުންނަ ވާގަނޑު
އިސްތިންގީކުރުން	ނައުފަހަރުގެ ރިޔާތިރިކުރަންވެގެން އިސްތިންގީއަށް ދަމާމޯރާ މައްޗަށް ނެގުން
އިސްތިންޖާ	ބޮޑުކަމު ނުވަތަ ކުޑަކަމު ދިއުމަށްފަހު ތާހިރުވުމަށް ކިޔާނަން
އިސްތިންޖާކަރުދާސް	އިސްތިންޖާކުރުމަށް ތައްޔާރުކޮށްފައި ހުންނަ ޚާއްޞަކަރުދާސް
އިސްތިރި	އަންހެން
އިސްތިރިކުރުން	އިސްތިރިން އެއްޗެހި ރޫފިލުވުން
އިސްތިރިއޯގަ	ލޯބީގެ ކަންތަކަށް މޮޅު އިރުވަރު
އިސްތިބްރާ	ހޮޅީގެތެރެ ސާފުކޮށްލުމާއެކު ތާހިރުވުމަށްކިޔާ ނަން
އިސްތިޢުފާ	ތިމާއާ ހަވާލުވެފައިވާ ކަމަކުން ދުރުވުމަށް (ވަކިވެގަތުމަށް) ހުށަހަޅާ ހުށަހެޅުން
އިސްލާންކަން	އިސްލާންދީން ގަބޫލުކުރާކުރުން
އިސްލާންވުން	(2) އިސްލާންދީން ފިޔަވައި އެހެން ދީނެއްގައި ހުރިމީހަކު ނުވަތަ ދީނެއް ޤަބޫލުނުކުރާ މީހަކު އިސްލާންދީނަށް ވަނުން
އިސްލާންދީން	މިހާރު މިބަސް ގިނައިން ބޭނުންކުރަނީ ސަލާމާއި ޞަލަވާތްލެއްވި މުހައްމަދުގެފާނުންގެ ދީނަށެވެ
އިސްލާމުން	އިސްލާންދީން ޤަބޫލުކޮށްގެން ތިބިއެދީނުގެ އަހުލުވެރިން
އިސްސަފު	(2) ފުރަތަމަސަފު
އިސްޓާކީނު	ފައިތިލައާއެކު ނިވާވާގޮތަށް ފަޔަށް ލެއްވުމަށްޓަކައި ދެމިކުރުވާގޮތަށް ވިޔެފައި ހުންނަ އުރައެއް
އިސްޓެތިސްކޯޕް	ބަލިބަލާ ކަށިގަނޑު
އިސްޓޭމް	އިސްޓޭމްޕް
އިސްޓޭމްޕް	(2) އިސްޓޭމު
އިސްޓޭޖް	ބަލިބަލިފަދަ ކަންތަކުގެ އެކިއެކި ދަރަޖަ
އިސްޓޭޝަން	(ނ) ރޭޑިއޯ ނުވަތަ ތެލްވިޒަން ޓްރާންސްމިޓް ކުރުމާއި ރިސީވް ކުރުމަށް ކަނޑައެޅި ރޭވި އެއާބެހޭ އެއްޗެހި ބަހައްޓައިފައި ހުންނަ ތަން
އިސްޓޯރު	(3) އެއްޗެހި ރައްކާކުރާ ޢިމާރާތް
އިސްޕަންޖު	(2) ހުހިވައް
އިސްޕަންޖުކުރުން	(2) ތުވާލު ފަދަ އެއްޗެއް ތެންމައިގެން ގައިސާފުކުރުން
އިސްޕަންޖުކޭކު	(2) ބަޓަރު ނުވަތަ މާޖިރީން ފަދަ އެއްޗެއް ނާޅައި ނުވަތަ މިއިން ބާވަތެއް ވަރަށް މަދުން އަޅައިގެން ހަދާ އިސްޕަންޖު ގޮތަށް ހުންނަ ލުއިލުއި ކޭކޭއް
އިސްޕިރިޓް	ރުކުރާފަދަ އެއްޗެތިންނެވެ
އިސްޕިރިޓްކުރާ	އިންޖީނު އުނދުން ފަދަ އެއްޗިއްސަށް އިސްޕިރިޓްއަޅަން ގެންގުޅޭ ކުރާ
އިސްޖެހުން	(2) އިސްއޮބުން
އިސްޚަރާބު	އިސްކަރާބު
އިޑިން	) ފުންނާބު
އިޑިއައްޕަން	ވަރަށް ގިނަވައްތަރު ވައްތަރަށް މިހަދާއުޅެއެވެ
އިޑިއައްޕަންހަރު	އިޑިއައްޕަން ދަމާއޮބި
އިޒުނަ	ހުއްދަ
އިޒުރޭލުބޯކިބާ	މިސުރު ބޯކިބާގެ ސައިޒަށް ކުޅިކޮށް ހަދާފައި ހުންނަ ބޯކިބާ
އިޔަހޫދި	(2) ހީލަތް
އިޔާރު	އެހީތެރިޔާ
އިޔާސްވުން	(2) މުސްކުޅިވުމުގެ ސަބަބުން އެދުން ކެނޑިދިއުން
އިޖާބަ	ގަބޫލުކުރާކުރުން
އިޖާބަކުރެއްވުން	ކަމަކަށް އެދި ދުޢާ ކުރުމުން އެކަމެއް ފުއްދަވައިދެއްވުން
އިޖާބަދިނުން	(3) ސުވާލެއް ކުރީމާ ނުވަތަ ކަމަކަށް އެދުނީމާ އެމީހާގެ އެދުމާ އެއްގޮތަށް ޖަވާބު ދިނުން
އިޖާޒަތު	ހުއްދަ
އިޙުރާން	ޙައްޖު ނުވަތަ ޢުމްރާގެ އަޅުކަމުގައި ޙަރާމްވަ ކަންތައް ދޫކޮށްލުމަށް ކިޔަ ނަން
އިޙްރާމްގެދެރަކްޢަތް	އިޙްރާމް ބަނދެފައިކުރާ ސުންނަތް ދެރަކްޢަތް
އިޚްތިޔާރު	އެކިއެކި ކަންކަން ކުރުމަށް ލިބިފައިވާ އަމިއްލަ ބާރު
އިޤްރާރު	(3) އެކިކަންކަމުގެ މައްޗަށްވާގާލު
އިޤްރާރުވުން	(2) ގާލުވުން
އިޤްލާބު	މީމަކަށް ފުރޮޅައިލާ ފުރޮޅައިލުން
އީ	އައީ
އީރާނު	(3) ނިޔަމިކަމުގެ އިޞްޠިލާޙުގައި ދުނިޔެ އުތުރާ ދެކުނުން ބައިކޮށް އިރުމަތީ ފަޅިއަށް ދިވެހިން ކިޔާގޮތް
އީބީފިލި	ތިރއަށް ދެމޭ ފިލި
އީވުން	(3) އާތްވުން
އީމާން	(2) ތެދުވެރިވުމުގެ ނަން
އީމާންކަން	އީމާނުގެ ނއނ
އީމާންވުން	ހިތުން ތެދުކޮށް ޤަބޫލުކޮށް ރުހުން
އީމާންތެރި	(3) ރައްކައުތެރި
އީމާންތެރިޔާ	(2) ތަޤްވާވެރިޔާ
އީދު	(3) އިނގިލި
އީދުހަރުގެ	މިހަރުގެ އަޅަނީ ޢީދުމިސްކިތާ ޖައްސައިގެން ދެކުނުންނެވެ
އީދުހުޅު	(2) ޢީދުވިލޭރޭ ފަތިހު ޢީދުނަމާދަށް ފެންވަރާއިރު އަލިކުރުމަށާއި ޢީދުގެ އުފަލުގައި ޢީދުވިލޭރޭ އަންދާ އަލިފާން
އީދުހެދުން	(3) ނަލަހެދުން
އީދުބަތް	ޢީދުޞަލަވާތް ފުޅަށް ކައްކާ ބަތް
އީދުބަޑި	އީދުވިލޭރޭ އިރުއޮއްސުނީމާ އީދު ވިލޭރޭކަން އަންގާން ޖަހައިއުޅުނު ތިންބަޑި
އީދުބޮނޑި	އީދު ދުވަހު ގޭގެއަށް ހަދިޔާ ފޮނުވާން ފިހާ ބޯކިބަލެއް
އީދުކުޅުން	ޢީދުގައި ކުޅެއުޅޭ ކުޅިވަރު ކުޅުން
އީދުއަތިރި	ރަށްރަށުގައި ޢީދުކުޅެން ތައްޔާރުކޮށްފައި އޮންނަ އަތިރި
އީދުއަސް	(2) މަޖާޒު: މޮޅުމީހަކު ކަމުގައި އެމީހަކަށް ހީކުރުވާން ނަލަހައްދައިފައި ހުންނަ ސޭކުމީހާ
އީދުއަސްހެއްދުން	މަޖާޒު: މޮޔައިން ނަލަހައްދައިގެން މޮޅުމީހަކު ކަމުގައި އޭނާއަށް ހީކުރުވުން
އީދުވުން	ވަކިދުވަހެއް ޢީދު ދުވަސް ކަމުގައިވުން
އީދުގައު	މިހުންނަނީ އަތިރިމަތީގައެވެ
އީދުގަލަ	) ޢީދުގައު
އީދުގަސް	ފަތިސްވީމާ މިއެލުވި އެއްޗެތީގައި ރޯކޮށްލަނީއެވެ
އީދުގެރި	(2) ބޮޑު ޢީދުގައި ހަވަރަށް ދެއްވާ ގެރި
އީދުޖަބޮ	) ޢީދުތެރޭގައި ބަޔަށް ކައްކާ ކެއުން
އީސާ	ޢީސާ
އީޓު	ރާނާ އީޓު
އީޖާދު	ކަމެއް ނުވަތަ އެއްޗެއް އަލަށް އުފައްދާ އުފެއްދުން މިއުފައްދާ އެއްޗަކަށް ވެސް އީޖާދު ކިޔައެވެ
އުހަބު	ނަކަތް ތެރީންގެ އިސްޠިލާޙުގައިކިޔާ "ރިޔަންކޮޅު" ގެ ބައެއް
އުހައުވެރި	އުފާވެފައިވާ
އުހައުވެރިކަން	އުފާވެރިކަން
އުހާކުރުން	(2) ހިތްފަސޭހަކުރުން
އުހާވުން	އުފާވުން
އުހާދު	) މަނި
އުހުލި	އުފުލި
އުހުލުން	އުފުލުން
އުށް	(4) މަރުވަޅީގައި ފައިގެ ދެއިނގިލި ދޭތެރެއިން ހިފާން ހުންނަ ކުޑަގޮބު
އުށްބައްތި	މެދަށް ފުކެއްލައިގެން އުށުން ފޯލިކޮށް ހަދައިގެން ދިއްލަންގެންގުޅޭ އެއްޗެއް
އުށްތެޔޮ	ބޭސްއުށުން ނަގާތެޔޮ
އުނހު	މިމާ ނަތައް ދޭހަވާނީ ބުނާ މަޤާމުންނާއި ބުނެވޭ ރާގުންނެވެ
އުނހުނހޫ	ކަމެއް ކުޅަގޮތް ރަނގަޅުނުވެގެން އެކަން މައްޗަށް ރުވާލާން ބުނާބަހެއް
އުނހުއުނހު	(1) އިޝްޤީ ލޯބިކުރުމުގައި އިއްވޭ އަޑެއް
އުނހޫ	(2) ތިމާޔަށް ކޮންމެވެސް ފަރާތަކުން އުނދަގުލެއް ލިބޭން ފެށީމާ ތުރާވެގެން ބުނާގޮތެއް
އުނހޫތަކުރާ	އޮޅުލުމާއި އަރައިރުމުގެތެރޭ ގަޔަށް އެރުމުގައި ތިމާ ދެރަނުވާނެކަން އަންގާން ބުނެއުޅޭ ބަހެއް
އުނހް	(3) އަން
އުނނަގަނޑުދަމައިލުން	މަޖާޒު: (2) އަރާމުކޮށްލާން އޮށޯވެލުން
އުނބަ	ކަލޭ
އުނބު	(3) އަނގަކުޑަކޮށް ކެނޑިފައި ހުންނަނާށި
އުނބުށޭމު	އިބްރާހީމަށް ދިވެހީންކިޔާގޮތެއް
އުނބުރި	) ބުޑުވައް
އުނބުކަހާވަޅި	އުނބުގެ އެތެރެ ސާފުކުރާން ތިލަގުދުކޮށް ހަދައިފައިއޮންނަ ޚާއްޞަ ވަޅިއެއް
އުނބުލި	) ވެލަނބުލި
އުނބުލި	) ވެލަނބުލި
އުނބުލިވެހާ	) ވެލަބުލިވެޔޮ
އުނބުލިވެއު	) ވެލަނބުލިވެޔޮ
އުނބުގަނޑު	(2) އުނބަށް ވުރެ ހަނގު ބޮޑުކޮށް ހުންނަނާށި ގަނޑު
އުނދަގޫ	ފަސޭހައިގެ އިދިކޮޅު
އުނދަގޫކުރުން	(4) އަހުވަ ދެއްކުން
އުނދަގޫއުފުލުން	ދަތިގޮތްތަކަށް ކެތްކުރުން
އުނދަގޫވުން	(2) ދަތިވުން
އުނދުން	(3) ކެއްކުމަށާއި މަޢުދަނީތަކެތި ބައްދައި ދޮންކޮށް ވިރުވައި ހެދުމަށްޓަކައި އަލިފާން އަންދާތަން ނުވަތަ އާލަތް
އުނދުންކޮށި	އޮޑިދޯނިފަހަރުގައި ކައްކާން ކަރާސީނުތެޔޮ ހުސްކުރި ޑަބިޔާއަކުން ހަދައިފައިހުންނަ އުނދުނެއް
އުނދުންޖެހުން	(2) ނުވަތަ ތިންބުރި ނުވަތަ ހަތަރުބުރި ދަގަނޑު މިގޮތަށް ބިމަށް ހެރުން
އުނދުޅި	މިއޮންނާނީ ބޮޑު ސަމުސަލެއް ހެންނެވެ
އުނދެ	) އާނދޮގޭ
އުނދޭ	(2) ނޫނެކޭ
އުނދޯލި	މި ގިނައިން ހަދައިފައި ހުންނަނީ ފިލައިންނެވެ
އުނދޯލިގެ	ބޮޑުއުނދޯލި އެލުވައިފައި ހުންނަ ޚާއްޞަ ގެ
އުނގަށްއެޑުން	ރަންރިހި ފަދަ ތަކެތި އެޅުން
އުނގަންނައިދިނުން	(3) ކިޔަވައިދިނުން
އުނގު	މިހެން އުނގު ހަދައިއުޅެނީ ފިރިހެނުންނާއި ކުޑަކުދީންނެވެ
އުނގުރި	ނަގައި ޖެހޭނެހެން ވަގުތީ ގޮތުން ޖަހާ މުކޮޅު
އުނގުރިމަޑޫ	މަސްއުނގުރި ތޮރުފައިފައިހުންނަ މަޑޫ
އުނގުރު	މެދުބުރިކައްޓާ ކަނދުރާޔާ ދެމެދު
އުނގުރުމަތި	ނ
އުނގުރުމަސް	ކަދޮންމަސް
އުނގުރުޖެހުން	(2) މައިކަށްޓަށް ހާނީއްކަވުން
އުނގުޅުން	(4) އެއްޗެއް އެއްޗެއްގައި ކޭއްތުން
އުނގުވިޔަފާރި	ބައެއް ތަކެތި އަތުން ހިފައިގެން ހިނގައިގެން ކުރާ ވިޔަފާރިއަށްވެސް މިހެންކިޔައެވެ
އުނގުލި	އަދި ދަވާދުއަޅާން ބޭނުންކުރެއެވެ
އުނގެނުން	(3) ކިޔެވުން
އުނޑަލި	ކާށިގާނަމުންގޮސް ނާށިކައިރީގައި އޮންނަ ފަށް
އުނަށްދޭފޭލި	(2) ވާރުފޭލި
އުނަގަނޑު	(1) ޅިނދުމައްޗާއި ބުރިކައްޓާއި ބެދުނުތަން
އުނަގަނޑުރޮދިގަނޑު	އެއްޗެތި އަނުމަށް އުނގަނޑުގައި އަޅައިފައި އޮންނަ އެތިފަށް
އުނަގަނޑުމަތި	(3) ދޫނިސޫފާ ސޫފީގެ ފިނދުފަތާއި ހަށިގަނޑާއި ބެދުނުތަން
އުނަގަނޑުފައްޓަރު	މިކިތަންމެ ގޮތަކަށް ގަތައިފައި ހުރެއެވެ
އުނަގަނޑުދެމުން	އުނަގަނޑު ދަމައިނުލެވޭގޮތަށް ހިނގުން
އުނަގަނޑުޖެހުން	(2) އުނަގަނޑު ކުރިއަށާއި ފަހަތަށް ހެލުވުން
އުނި	(4) މިގަހުގެ ލަކުޑި
އުނިކަން	"އުނި" މިބަހުގެ ނއނ
އުނިކުރުން	(2) ކުޑަކުރުން
އުނިވުން	(2) ހަމަނުވުން
އުނިމައުލޯފިނދު	) ފުނަމައު ލޯފިނދު
އުނިމޫވުން	މީގައި ހުންނާނީ އުނިތޮށީގައި ހުންނަކުލައެވެ
އުނިޔަ	މަސްމީރު ކުޑަވަރެއްގެ މަހެކެވެ
އުނިޔަމުގުރާން	) ނޫކުލައިގައި ފަތިކޮށް ހުންނަ މުގުރާމެއް
އުނިޔަފަނި	މިނަގަނީ ރާޅު ދޫފަށުން ކޮނެގެންނެވެ
އުނު	އުނަގަނޑު
އުނުބަރަހަ	(2) އޮރިޔާންނިވައުކޮށްލާނޭ އެއްޗެއް
އުނުބަރަހަނާ	އުނުބަރަހަ
އުނުއަނުން	އުނުފޭރާންލުން
އުނުއޮރިޔާން	އިންސާނާގެ ހަށިގަނޑުން ނިވައުކުރާން ބޭނުންވާ ހިސާބުވާހާމަ
އުނުފޭރާން	ނުވަތަ ދެރަވުން ފަދަ ގޮތްގޮތަށް ބުނާއިރުގައެވެ
އުނުގަނޑު	އުނަގަނޑު
އުން	މިއީ ކަމެއްގެ ނަމެކެވެ
އުންހ	އ
އުންބޮ	ކުޑަކުދީންގެ ބަހުން ގެރިޔަށް ކިޔާނަން
އުންބޯ	ގެރިގޮވާގޮތް
އުންކާރު	(2) ގަދަބާރުލާން އިއްވާއަޑު
އުންކާރުދިނުން	(2) ތިމާއާއި ނުކުޅަދާނަ މަސައްކަތެއް ކުރާން ބާރުލައިފައި އުޅުން
އުންވެއްޓި	އުންވައްޓާން ޖަހާ ބޭހެއްގެނަން
އުންމަތް	(2) ޖަމާޢަތް
އުންމަޑި	(2) ބެރެބެދިމަޑި
އުންމީދު	ތިމާއެދޭ ކަމެއް ފީދިދާނޭ ކަމުގެ އެދުން
އުންމީދު	ކަމެއްވާނެކަމާމެދު އެދެވޭ އެދުން
އުންމީދުކުރުން	ކަމެއް ވެދާނޭކަމުގެ އެދުން ބޭއްވުން
އުންމީދުކެނޑުން	ކަމެއް ވެދާނެކަމުގެ އެދުން ކެނޑިދިއުން
އުންދޭ	އާނދޮގޭ
އުންސިއްލަ	) އުނދޯލި
އުންޑަ	ބަޑިޔަށްލާން ދަގަނޑުން ނުވަތަ ތިމަރައިން ހަދައިފައި އޮންނަގުޅަ
އުންޖެހުން	ގައިން އުންނުކުތުން
އުންޗުކުލި	ނިޔަފަތި ނުޖެހޭނެހެން އިނގިލިން ކުދިކުދިކޮށް ވިކާވިކުން
އުންޗުކުލިކެނޑުން	ނިޔަފަތި ނުޖެހޭނެހެން އިނގިލިން ކުދިކުދިކޮށް ވިކުން
އުރަ	) ހިތް
އުރަހަ	(2) މަސްމަހުގެ ފުޅައުކޮށް ގަދަކޮށް ހުންނަ ކޮތަރި
އުރަށްލުން	(2) މަޖާޒު: ލޯބިވެރިކަމުގައި އެކުއުޅުން
އުރަނދުއެޅުން	މީހެއްގެ ނަންމަތީގައި އަނެކަކު ކަމެއްކުރުން
އުރަންނައި	) ޖުމްލަ
އުރަވަޅި	) ފަސްބައި
އުރަދު	އެކެއްގެ ނަމުގައި އަނެކަކު ކަމެއް ކޮށްދޭ ކޮށްދިނުން
އުރާ	މިއީ ރާއްޖޭގައިވެސް ހައްދާ އުޅުނުއެއްޗެކެވެ
އުރާލުން	ދަނޑަށް އުރާއުކުން
އުރު	ދެފަރާތުގެ އުކުޅުމަތި
އުރުން	(2) ފުރާދުއްވާ އެއްޗެއް އެއެއްޗެއްގެ ފެންވަރު ނެތްތާކު ބީހި ހަރުލުން
އުރުކުޅުން	އުރުލެފުން
އުރުއްޓުން	(2) ދެއަތަށް ގުޑައިގަތުން (3) ދެއަތަށް ދެއަތަށް އަރިއެޅުން
އުރުވަޑުވާ	ސަރުކާރުން އެމީހާއަށް ދެއްވާ އުޖޫރައަށްވެސް ކިޔަނީ މިހެންނެވެ
އުރުވެޑުވުން	ގަނޑުވަރުތެރޭގެ ބޭފުޅަކު އުރުން
އުރުތެރެ	ގައިގައި އެކުއްޖާ ޖެހޭ ހިސާބު
އުރުލެފުން	އުރުގައި ޖެއްސުން
އުރެދިގަތުން	(2) ފާފަވެރިވެގަތުން
އުރެދުން	ފާފަ
އުބުފިލި	ބަޅުފިލި
އުޅަ	މައްޗަށް ނަގާން ލައްވާވަޅިތައް
އުޅަހަރު	ފޭރާންކުރާއިރު އުޅަނަގާން ހުންނަ އަތްގަނޑު
އުޅަނބޮށި	އަތްދަނޑިއާއި މުލައްދަނޑިޔާއި ބެދުނުތާގެ ބޭރުފަރާތް
އުޅަނބޮށިހުޅު	އަތްދަނޑިއާއި މުލައް ދަނޑިއާއި ބެދުނުހުޅު
އުޅަނދު	މީގައި ރިއްސެޔޮފަށް ދަމައިފައި ހުންނާނެވެ
އުޅަނދުމަތި	އެއަށްފަހު ރަށްފުށު މީހުންނަށް މިދަރަޖަ ދެއްވަނީއެވެ
އުޅަނދުމަތީބޭކަލުން	އުޅަނދުމަތީގެ ދަރަޖަ ދެއްވާފައިތިބޭ މީހުން
އުޅަނެގުން	އުޅަހަރުގައި ހިފައިފައި އުއި ފަށް މައްޗަށް ހިއްލައިލުން
އުޅަބައި	އުޅަތައް
އުޅަބޮށިކަށިގަނޑު	އުލަބޮށި ހުޅުގެ ބޭރުކަށިގަނޑު
އުޅަބޮށިވައްގަނޑު	މިސާލު: މަތާރަންފިލާ ބަހައްޓައިފައި ހުންނަ ވައްގަނޑު
އުޅައު	އަތުކުރީގައި އަޅާ އެކަތިގަނޑަށް ނުވަތަ ދެފަޅިޔަށް ހުންނަގަހަނާ
އުޅައުބައި	ހައުޅަލުގެ ނުވަތަ އަށް އުޅަލުގެ ބައި
އުޅައް	(2) އޮޑިދޯނިފަހަރުގެ ހުންގާނު އަޅާން މައްޔަލުގެ ތިރީގައި ލަކުޑިން ހަދައި ހަރުކޮށްފައިހުންނަ އެއްޗެއް
އުޅައްލީ ވެޔޮ	މިވެވުގެ ބިތުގެ ތަންތަން ކޮޅުގައި ހުރީ އުޅައްލާފައެވެ
އުޅައްގަނޑު	(2) އުޅައް
އުޅަދަނޑި	ފޭރާން ކުރާއިރު އުޅަނަގަން ލައްވާ ދަނޑި
އުޅަގަނޑު	ފޭރާންކުރާއިރު އުޅަދަނޑީގައި ލާފައި އޮންނަ އުޅަތައް
އުޅަގަތުން	ފޭރާން ކުރާއިރު އުޅަނެގުން
އުޅާ	ނ
އުޅާހަށްދެމުން	(2) މަޖާޒު: މޯޅިއަށް ދެމުން
އުޅާގަނޑު	މިހުންނާނީ އެލިފައެވެ
އުޅާސް	ފޭރާމާއި އެހެންވެސް ދެމޭގޮތް ހުންނަތަކެތި އެއްކަނަށް ދީލިގެންވާ ކަންކުތި
އުޅާސްވުން	ފޭރާމާއި ދެމޭގޮތް ހުންނަތަކެތި ކަންކުތި ވެގެން އެއްކަނަށް ދީލުން
އުޅި	ވަލާއި ބަރަނި ފަދަ އަނބުރައިފައި ހުންނަ ތަކެތީގެފަށް
